Node1,Node2,CN,JI,PA,AA,RA,Label
10,211,0,0,184,0,0,0
17,113,0,0,29484,0,0,0
17,26,9,0.013657056145675266,111267,3.815084194940628,0.0466460832457534,0
17,478,0,0,3861,0,0,0
20,487,0,0,3268,0,0,0
21,97,1,0.0010256410256410256,179095,0.3908221559564429,0.0027624309392265192,0
21,40,2,0.0019120458891013384,231727,1.0296705066131668,0.02425526904509596,0
22,479,1,0.002352941176470588,14393,0.39249938304406706,0.0028328611898017,0
24,432,2,0.004672897196261682,43824,0.8289389359205597,0.007827471328753796,0
24,270,0,0,15312,0,0,0
24,293,0,0,11616,0,0,0
27,198,1,0.001851851851851852,60060,0.5980511219807114,0.02127659574468085,0
30,214,0,0,1530,0,0,0
48,151,0,0,3870,0,0,0
48,260,1,0.001694915254237288,78948,0.4504285198486958,0.006024096385542169,0
48,160,0,0,7353,0,0,0
55,95,0,0,1125,0,0,0
56,216,1,0.003236245954692557,23856,0.42513707686380126,0.0044444444444444444,0
56,213,0,0,4368,0,0,0
57,131,1,0.002008032128514056,37758,0.44937573766125627,0.005952380952380952,0
58,378,0,0,10944,0,0,0
89,161,0,0,1414,0,0,0
94,92,5,0.01272264631043257,19437,2.1589087182957765,0.02789791712781746,0
94,101,3,0.007832898172323759,15345,1.5845994014608595,0.04583151779230211,0
96,289,0,0,3836,0,0,0
97,277,0,0,22050,0,0,0
97,465,0,0,3185,0,0,0
99,449,0,0,64660,0,0,0
101,279,0,0,5310,0,0,0
109,353,0,0,21952,0,0,0
109,55,0,0,49000,0,0,0
109,10,0,0,3136,0,0,0
110,465,0,0,663,0,0,0
111,398,0,0,2366,0,0,0
111,392,3,0.004601226993865031,107146,1.469507861734097,0.029316284137905047,0
111,404,3,0.0050335570469798654,88218,1.2993274647228759,0.01590496802400959,0
114,428,0,0,1425,0,0,0
118,357,0,0,1650,0,0,0
130,384,0,0,12495,0,0,0
165,421,0,0,7575,0,0,0
190,97,0,0,228830,0,0,0
190,386,0,0,4670,0,0,0
192,432,7,0.01583710407239819,46978,3.730121117479311,0.1094455120357809,0
192,497,0,0,10754,0,0,0
195,487,0,0,7486,0,0,0
197,157,0,0,19411,0,0,0
197,246,2,0.004464285714285714,15281,0.8548355128124081,0.009391099752545536,0
198,140,0,0,3850,0,0,0
199,86,0,0,8055,0,0,0
203,64,0,0,995,0,0,0
205,137,0,0,1326,0,0,0
205,212,2,0.008547008547008548,3315,0.8452555936045762,0.008956647705190262,0
208,325,1,0.0024271844660194173,12886,0.4504285198486958,0.006024096385542169,0
208,347,0,0,23877,0,0,0
213,200,1,0.02702702702702703,312,0.4504285198486958,0.006024096385542169,0
216,227,4,0.01098901098901099,32092,1.7225289076977472,0.020895537723471445,0
216,229,1,0.006535947712418301,1704,0.4504285198486958,0.006024096385542169,0
220,385,0,0,3276,0,0,0
222,236,1,0.0019267822736030828,22231,0.4504285198486958,0.006024096385542169,0
227,499,0,0,4746,0,0,0
227,260,2,0.004672897196261682,46104,1.0040832023299229,0.021649096385542167,0
238,270,1,0.006493506493506494,5586,0.4504285198486958,0.006024096385542169,0
240,174,0,0,7152,0,0,0
243,110,0,0,5304,0,0,0
243,261,1,0.007352941176470588,3432,0.4504285198486958,0.006024096385542169,0
245,475,0,0,16065,0,0,0
245,275,1,0.001402524544179523,127449,0.4504285198486958,0.006024096385542169,0
247,306,1,0.003125,17204,0.4504285198486958,0.006024096385542169,0
253,25,0,0,27716,0,0,0
253,408,0,0,37180,0,0,0
267,264,2,0.010471204188481676,5152,1.0452271589547633,0.026857429718875503,0
271,360,0,0,520,0,0,0
275,493,1,0.0018018018018018018,71043,0.5169298529844585,0.011627906976744186,0
275,140,0,0,3570,0,0,0
275,149,0,0,4284,0,0,0
277,282,2,0.005390835579514825,25470,0.9660202050819628,0.017518349259105385,0
278,233,1,0.01639344262295082,637,0.4504285198486958,0.006024096385542169,0
280,156,0,0,3122,0,0,0
282,71,0,0,9622,0,0,0
283,224,1,0.0008382229673093043,202745,0.4504285198486958,0.006024096385542169,0
283,434,0,0,39560,0,0,0
283,148,0,0,16813,0,0,0
283,420,0,0,105823,0,0,0
284,406,0,0,17748,0,0,0
290,142,0,0,6885,0,0,0
290,303,5,0.012285012285012284,39627,2.1703258217225367,0.029511924939980873,0
292,361,0,0,12276,0,0,0
299,228,1,0.002070393374741201,15715,0.4504285198486958,0.006024096385542169,0
299,162,1,0.0020408163265306124,18858,0.41048162412912587,0.003663003663003663,0
299,141,3,0.004991680532445923,69595,1.306592013161559,0.01525605695478439,0
299,369,0,0,5388,0,0,0
305,232,1,0.0022026431718061676,906,0.4504285198486958,0.006024096385542169,0
305,173,0,0,1812,0,0,0
305,387,0,0,3171,0,0,0
308,478,0,0,7612,0,0,0
308,354,0,0,20068,0,0,0
308,343,1,0.0014124293785310734,11764,0.4504285198486958,0.006024096385542169,0
308,137,0,0,4152,0,0,0
313,487,0,0,2166,0,0,0
315,198,1,0.0024937655860349127,6545,0.4504285198486958,0.006024096385542169,0
317,148,0,0,2754,0,0,0
317,402,2,0.00851063829787234,12150,0.7550606376000937,0.004578061887881979,0
320,114,0,0,21000,0,0,0
322,225,1,0.0029498525073746312,7291,0.4504285198486958,0.006024096385542169,0
322,318,1,0.002967359050445104,6657,0.4504285198486958,0.006024096385542169,0
323,390,0,0,2275,0,0,0
323,469,0,0,176800,0,0,0
328,303,10,0.01718213058419244,86247,4.791967586139509,0.10460933399685304,0
328,493,6,0.011428571428571429,65934,2.603895568053576,0.03261689250002493,0
328,402,0,0,24975,0,0,0
336,24,1,0.0023923444976076554,40920,0.48438864109531815,0.008620689655172414,0
341,360,0,0,352,0,0,0
352,473,0,0,1212,0,0,0
358,61,0,0,6498,0,0,0
365,386,1,0.008,605,0.6160483210529383,0.023809523809523808,0
365,137,0,0,726,0,0,0
367,1,1,0.006369426751592357,5757,0.6160483210529383,0.023809523809523808,0
369,282,0,0,3396,0,0,0
385,229,0,0,624,0,0,0
392,141,1,0.0021231422505307855,49135,0.48616735934588834,0.008771929824561403,0
393,132,0,0,640,0,0,0
400,267,0,0,10626,0,0,0
404,482,0,0,32364,0,0,0
415,230,0,0,210,0,0,0
418,138,0,0,87,0,0,0
431,316,0,0,55352,0,0,0
435,184,2,0.002688172043010753,132073,0.9736817868524222,0.02071360153256705,0
435,484,1,0.003205128205128205,6936,0.4176321485238514,0.004032258064516129,0
435,377,1,0.0033222591362126247,3757,0.3930712475323701,0.002857142857142857,0
437,12,0,0,8484,0,0,0
442,29,0,0,1683,0,0,0
445,458,1,0.006578947368421052,5846,0.4176321485238514,0.004032258064516129,0
446,63,0,0,70312,0,0,0
454,92,0,0,3648,0,0,0
454,5,0,0,15808,0,0,0
454,389,0,0,960,0,0,0
456,21,0,0,162282,0,0,0
461,137,0,0,972,0,0,0
462,61,0,0,874,0,0,0
463,479,1,0.004081632653061225,7733,0.4176321485238514,0.004032258064516129,0
469,458,2,0.00322061191626409,42976,0.8337577615291916,0.007984827234476603,0
472,16,0,0,72962,0,0,0
490,109,0,0,95648,0,0,0
492,491,1,0.006944444444444444,5244,0.4176321485238514,0.004032258064516129,0
494,312,0,0,9991,0,0,0
508,381,0,0,780,0,0,0
517,436,1,0.0030211480362537764,7675,0.4176321485238514,0.004032258064516129,0
520,64,0,0,465,0,0,0
526,243,0,0,3952,0,0,0
527,254,0,0,1422,0,0,0
530,347,0,0,7056,0,0,0
534,283,0,0,166152,0,0,0
535,455,1,0.0025380710659898475,29500,0.4176321485238514,0.004032258064516129,0
547,320,0,0,24920,0,0,0
549,109,0,0,21168,0,0,0
558,164,0,0,75647,0,0,0
558,355,0,0,1495,0,0,0
563,239,3,0.003947368421052632,145522,1.5144063442952835,0.03215952308858552,0
569,198,0,0,366520,0,0,0
569,270,0,0,55216,0,0,0
569,347,0,0,59976,0,0,0
570,154,1,0.00303951367781155,25200,0.45655185506165885,0.0064516129032258064,0
573,412,0,0,3553,0,0,0
578,318,0,0,2058,0,0,0
